agent,project_id,units_with_exact_reference
codex,20260701T101140Z-cloudstrix-integra-cloudstrix-client-feedback-google-sheet-18-06,2
codex,20260701T152006Z-mission-eliminate-recurring-operator-agent-interaction-anti-patt,2
codex,20260701T204251Z-zenith-2026-07-01,2
codex,20260702T091938Z-jusan-crm-24-on-premise-jusan-mobile-24-crmba-confluence-rtm-704,2
codex,20260703T112702Z-jusan-mobile-crm-24-ba-2026-1-jira-jm-miroslavb-atlassian-net-2-,2
codex,20260703T204552Z-mission-migrate-ai-automation-llc-to-the-nuc-stand-up-planka-a-c,2
codex,20260705T123430Z-root-girdin-dock-mission-template-assessment-md,2
codex,20260705T135020Z-fable-claude-fable-5-claude-opus-4-8-root-girdin-dock-zenith-con,2
codex,20260706T212330Z-xpd-dna-platinum-adduct-comparative-structural-modeling-mission-,2
codex,20260706T213417Z-pnl-client-work-model-profitability-analysis-v4-for-the-ai-autom,2
codex,20260707T185954Z-cloudstrix-integra-production-integra-cloudstrix-ru-2026-07-07-r,2
codex,20260710T004432Z-act-on-the-hermes-ir-iii-conformer-completeness-audit-and-implem,2
codex,20260711T113737Z-user-mission-original-russian,2
codex,20260711T115510Z-mission-personal-project-biometal-xyz-miroslav-find-plausible-bi,2
codex,20260711T220544Z-personal-project-biometal-xyz-miroslav-enrich-the-live-site-http,2
codex,20260712T002426Z-stage-2-personal-project-biometal-xyz-miroslav-follow-on-to-the-,2
codex,20260713T184547Z-mission-turn-the-agent-harness-on-host-hermes-tanya-38-19-200-18,2
codex,20260713T220618Z-original-user-request-russian-verbatim-source-of-truth,2
codex,20260714T171824Z-mission-win-the-territory-masterskaya-bot-tournament-on-agentswi,2
codex,20260715T140959Z-win-the-territory-tournament-at-agentswithfriends-com-the-game-i,2
codex,20260717T161532Z-project,2
codex,20260722T173113Z-diy-biometal-xyz-miroslav-diy-a-miroslav-diy-edge-194-9-62-13-1-,2
codex,20260723T113908Z-c6-enviro-hardware-interview-remediation-after-v0-1-7-failed-liv,2
codex,20260723T132138Z-production-3d-biometaldb-ir-iii-donor-denticity-assignment-stere,2
codex,20260723T185703Z-mission-zigbee2mqtt-zstack-coordinator-sonoff-zbdongle-e-efr32mg,2
codex,20260728T145818Z-crypto-miner-alert-otc-otc-outcome-first-production,2
codex,20260730T053905Z-security-hardening-mission-for-the-complete-public-shared-host-s,2
codex,20260809T022615Z-execute-only-the-operator-authorized-standard-openssh-shared-key,2
codex,20260809T075546Z-implement-one-isolated-edge-only-security-hardening-wave-for-the,2
codex,20260809T152351Z-build-the-complete-capybara-pet-tamagotchi-project-defined-by-th,2
codex,20260809T175218Z-independently-revalidate-the-four-edge-rce-offline-candidate-ass,2
codex,20260809T231732Z-create-a-clean-read-only-closure-certificate-for-the-edge-rce-of,2
codex,20260810T024157Z-issue-a-final-clean-read-only-product-surface-certificate-for-th,2
codex,20260810T035509Z-issue-one-final-clean-read-only-closure-seal-for-the-current-che,2
codex,20260821T141159Z-rpi4-ajazz-akp05e-akp05e-pro-ulanzi-deck-d200-live-usb-0300-3004,2
codex,20260823T003203Z-implement-pearl-hopper-p0-completely-and-safely-in-root-projects,2
codex,20260826T111552Z-asic-antminer-t21-at-192-168-1-243-was-reflashed-by-the-user-rei,2
codex,20260828T154717Z-recover-a-standalone-production-usable-bidirectional-wildrig-mul,2
codex,20260830T102453Z-peakminer-pearlhash-https-pearlhash-xyz-reverse-engineering-hand,1
gstack,20260710T004432Z-act-on-the-hermes-ir-iii-conformer-completeness-audit-and-implem,1
gstack,20260730T053905Z-security-hardening-mission-for-the-complete-public-shared-host-s,1
gstack,20260823T003203Z-implement-pearl-hopper-p0-completely-and-safely-in-root-projects,2
